id,date,category,cases,deaths,intensive
396,2020-07-15,65+,407,97,2
397,2020-07-16,0-17,120,0,0
398,2020-07-16,18-39,631,3,2
399,2020-07-16,40-64,840,31,7
400,2020-07-16,65+,409,97,2
401,2020-07-17,0-17,120,0,0
402,2020-07-17,18-39,637,3,2
403,2020-07-17,40-64,849,31,7
404,2020-07-17,65+,413,97,2
405,2020-07-18,0-17,123,0,0
406,2020-07-18,18-39,638,3,2
407,2020-07-18,40-64,852,31,7
408,2020-07-18,65+,414,97,2
409,2020-07-19,0-17,123,0,0
410,2020-07-19,18-39,641,3,2
411,2020-07-19,40-64,856,31,7
412,2020-07-19,65+,415,97,3
413,2020-07-20,0-17,124,0,0
414,2020-07-20,18-39,642,3,2
415,2020-07-20,40-64,859,31,6
416,2020-07-20,65+,415,98,2
417,2020-07-21,0-17,125,0,0
418,2020-07-21,18-39,646,3,1
419,2020-07-21,40-64,863,31,6
420,2020-07-21,65+,420,99,1
421,2020-07-22,0-17,125,0,0
422,2020-07-22,18-39,648,3,1
423,2020-07-22,40-64,870,31,5
424,2020-07-22,65+,422,101,2
425,2020-07-23,0-17,127,0,0
426,2020-07-23,18-39,654,3,1
427,2020-07-23,40-64,880,31,4
428,2020-07-23,65+,426,101,2
429,2020-07-24,0-17,127,0,0
430,2020-07-24,18-39,659,3,1
431,2020-07-24,40-64,889,31,4
432,2020-07-24,65+,428,101,2
433,2020-07-25,0-17,127,0,0
434,2020-07-25,18-39,663,3,1
435,2020-07-25,40-64,901,31,4
436,2020-07-25,65+,429,101,3
437,2020-07-26,0-17,128,0,0
438,2020-07-26,18-39,666,3,1
439,2020-07-26,40-64,907,32,3
440,2020-07-26,65+,434,101,3
441,2020-07-27,0-17,131,0,0
442,2020-07-27,18-39,668,3,1
443,2020-07-27,40-64,915,32,4
444,2020-07-27,65+,436,101,2
445,2020-07-28,0-17,131,0,0
446,2020-07-28,18-39,676,3,1
447,2020-07-28,40-64,928,32,4
448,2020-07-28,65+,438,102,1
449,2020-07-29,0-17,134,0,0
450,2020-07-29,18-39,686,3,1
451,2020-07-29,40-64,940,32,4
452,2020-07-29,65+,442,102,1
453,2020-07-30,0-17,135,0,0
454,2020-07-30,18-39,712,3,1
455,2020-07-30,40-64,956,32,4
456,2020-07-30,65+,443,102,1
457,2020-07-31,0-17,137,0,0
458,2020-07-31,18-39,736,3,1
459,2020-07-31,40-64,966,33,4
460,2020-07-31,65+,447,104,2
461,2020-08-01,0-17,140,0,0
462,2020-08-01,18-39,769,3,1
463,2020-08-01,40-64,985,33,3
464,2020-08-01,65+,450,104,3
465,2020-08-02,0-17,142,0,0
466,2020-08-02,18-39,791,3,1
467,2020-08-02,40-64,996,33,4
468,2020-08-02,65+,455,105,5
469,2020-08-03,0-17,146,0,0
470,2020-08-03,18-39,807,3,1
471,2020-08-03,40-64,1005,33,4
472,2020-08-03,65+,459,106,5
473,2020-08-04,0-17,150,0,0
474,2020-08-04,18-39,841,3,1
475,2020-08-04,40-64,1030,33,4
476,2020-08-04,65+,464,106,5
477,2020-08-05,0-17,153,0,0
478,2020-08-05,18-39,870,3,1
479,2020-08-05,40-64,1053,33,3
480,2020-08-05,65+,471,107,6
481,2020-08-06,0-17,154,0,0
482,2020-08-06,18-39,915,3,2
483,2020-08-06,40-64,1075,33,3
484,2020-08-06,65+,477,107,6
485,2020-08-07,0-17,159,0,0
486,2020-08-07,18-39,959,3,2
487,2020-08-07,40-64,1090,33,3
488,2020-08-07,65+,480,107,6
489,2020-08-08,0-17,163,0,0
490,2020-08-08,18-39,1009,3,2
491,2020-08-08,40-64,1112,33,5
492,2020-08-08,65+,492,107,6
493,2020-08-09,0-17,166,0,0
494,2020-08-09,18-39,1088,3,1
495,2020-08-09,40-64,1149,33,8
496,2020-08-09,65+,493,107,8
