id,date,category,cases,deaths,intensive
449,2020-07-23,0-17,126,0,0
450,2020-07-23,18-39,562,0,0
451,2020-07-23,40-64,728,12,1
452,2020-07-23,65+,342,54,0
453,2020-07-24,0-17,126,0,0
454,2020-07-24,18-39,566,0,0
455,2020-07-24,40-64,732,12,1
456,2020-07-24,65+,343,54,0
457,2020-07-25,0-17,126,0,0
458,2020-07-25,18-39,573,0,0
459,2020-07-25,40-64,735,12,1
460,2020-07-25,65+,344,54,1
461,2020-07-26,0-17,127,0,0
462,2020-07-26,18-39,577,0,0
463,2020-07-26,40-64,740,12,1
464,2020-07-26,65+,345,54,1
465,2020-07-27,0-17,129,0,0
466,2020-07-27,18-39,581,0,0
467,2020-07-27,40-64,750,12,1
468,2020-07-27,65+,345,54,1
469,2020-07-28,0-17,134,0,0
470,2020-07-28,18-39,589,0,0
471,2020-07-28,40-64,761,12,1
472,2020-07-28,65+,350,54,1
473,2020-07-29,0-17,137,0,0
474,2020-07-29,18-39,599,0,0
475,2020-07-29,40-64,774,12,1
476,2020-07-29,65+,354,54,1
477,2020-07-30,0-17,137,0,0
478,2020-07-30,18-39,608,0,0
479,2020-07-30,40-64,784,12,1
480,2020-07-30,65+,356,54,0
481,2020-07-31,0-17,139,0,0
482,2020-07-31,18-39,623,0,0
483,2020-07-31,40-64,790,12,1
484,2020-07-31,65+,356,54,1
485,2020-08-01,0-17,139,0,0
486,2020-08-01,18-39,646,0,0
487,2020-08-01,40-64,813,12,1
488,2020-08-01,65+,356,54,1
489,2020-08-02,0-17,146,0,0
490,2020-08-02,18-39,661,0,0
491,2020-08-02,40-64,826,12,1
492,2020-08-02,65+,359,55,1
493,2020-08-03,0-17,148,0,0
494,2020-08-03,18-39,674,0,0
495,2020-08-03,40-64,839,12,1
496,2020-08-03,65+,361,55,2
497,2020-08-04,0-17,153,0,0
498,2020-08-04,18-39,707,0,0
499,2020-08-04,40-64,858,12,0
500,2020-08-04,65+,370,55,3
501,2020-08-05,0-17,155,0,0
502,2020-08-05,18-39,732,0,0
503,2020-08-05,40-64,882,12,1
504,2020-08-05,65+,371,55,2
505,2020-08-06,0-17,159,0,0
506,2020-08-06,18-39,772,0,0
507,2020-08-06,40-64,903,12,1
508,2020-08-06,65+,374,55,2
509,2020-08-07,0-17,161,0,0
510,2020-08-07,18-39,805,0,0
511,2020-08-07,40-64,912,12,1
512,2020-08-07,65+,382,55,2
513,2020-08-08,0-17,165,0,0
514,2020-08-08,18-39,849,0,0
515,2020-08-08,40-64,926,12,2
516,2020-08-08,65+,387,56,2
517,2020-08-09,0-17,166,0,0
518,2020-08-09,18-39,883,0,0
519,2020-08-09,40-64,961,12,3
520,2020-08-09,65+,393,57,2
521,2020-08-10,0-17,168,0,0
522,2020-08-10,18-39,913,0,0
523,2020-08-10,40-64,974,12,3
524,2020-08-10,65+,399,58,3
525,2020-08-11,0-17,170,0,0
526,2020-08-11,18-39,970,0,0
527,2020-08-11,40-64,994,12,3
528,2020-08-11,65+,408,59,5
529,2020-08-12,0-17,177,0,0
530,2020-08-12,18-39,1023,0,1
531,2020-08-12,40-64,1013,12,3
532,2020-08-12,65+,443,61,4
533,2020-08-13,0-17,182,0,0
534,2020-08-13,18-39,1068,0,0
535,2020-08-13,40-64,1032,12,3
536,2020-08-13,65+,452,63,4
537,2020-08-14,0-17,190,0,0
538,2020-08-14,18-39,1123,0,1
539,2020-08-14,40-64,1063,12,3
540,2020-08-14,65+,462,65,3
541,2020-08-15,0-17,194,0,1
542,2020-08-15,18-39,1174,0,1
543,2020-08-15,40-64,1089,12,3
544,2020-08-15,65+,465,66,3
545,2020-08-16,0-17,197,0,1
546,2020-08-16,18-39,1229,0,1
547,2020-08-16,40-64,1104,12,2
548,2020-08-16,65+,472,67,4
549,2020-08-17,0-17,205,0,1
550,2020-08-17,18-39,1257,0,1
551,2020-08-17,40-64,1129,12,1
552,2020-08-17,65+,479,69,4
553,2020-08-18,0-17,214,0,1
